Player Name,Country,Career,Matches,Innings,Not Out,Runs, Highest Score,100s,50s,Average,S/R
Virender Sehwag ,India,1999-2013,251,245,9,8273,219,15,38,35.06,104.33
Kapil Dev,India,1978-1994,225,198,39,3783,175,1,14,23.79,95.07
Shikhar Dhawan ,India,2010-,136,133,7,5688,143,17,29,45.14,94.02
Suresh Raina ,India,2005-,226,194,35,5615,116,5,36,35.31,93.51
Virat Kohli,India,2008-,248,239,39,11867,183,43,58,59.34,93.25
Rohit Sharma,India,2007-,224,217,32,9115,264,29,43,49.27,88.93
Yuvraj Singh,India,2000-2017,304,278,40,8701,150,14,52,36.56,87.69
MS Dhoni,India,2004-,350,297,84,10773,183,10,73,50.58,87.56
Sachin Tendulkar,India,1989-2012,463,452,41,18426,200,49,96,44.83,86.24
Ravindra Jadeja,India,2009-,165,110,38,2296,87,0,12,31.89,85.96
Gautam Gambhir,India,2003-2013,147,143,11,5238,150,11,34,39.68,85.25
Ajinkya Rahane,India,2011-,90,87,3,2962,111,3,24,35.26,78.63
Rabindra Singh ,India,1989-2001,136,113,23,2336,100,1,9,25.96,74.3
Mohammad Azharuddin ,India,1985-2000,334,308,54,9378,153,7,58,36.92,74.02
Saurav Ganguly,India,1992-2007,311,300,23,11363,183,22,72,41.02,73.71
Mohammad Kaif,India,2002-2006,125,110,24,2753,111,2,17,32.01,72.01
Vinod Kambli,India,1991-2000,104,97,21,2477,106,2,14,32.59,71.94
Krishnamachari Srikkanth ,India,1981-1992,146,145,4,4091,123,4,27,29.01,71.75
Rahul Dravid,India,1996-2011,344,318,40,10889,153,12,83,39.17,71.25
"V V S. Laxman,",India,1998-2006,86,83,7,2338,131,6,10,30.76,71.24
Ajay Jadeja,India,1992-2000,196,179,36,5359,119,6,30,37.48,69.81
Navjot S Sidhu,India,1987-1998,136,127,8,4413,134,6,33,37.08,69.73
Dillip Vengsarkar,India,1976-1991,129,120,19,3508,105,1,23,34.73,67.74
Sunil Gavaskar,India,1974-1987,108,102,14,3092,103,1,27,35.14,62.26
Ravi Shastri,India,1981-1992,150,128,21,3108,109,4,18,29.05,60.6