Player Name,Career,Matches,Overs,Maidens,Runs,Wickets,Average,Best,4w,S/R,E/R
Jasprit Bumrah,2016-,50,179.1,7,1195,59,20.25,03-Nov,0,18.22,6.67
Yuzvendra Chahal,2016-,42,163.3,1,1339,55,24.35,Jun-25,3,17.84,8.19
Ravichandran Ashwin,2010-,46,171,2,1193,52,22.94,04-Aug,2,19.73,6.98
Bhuvneshwar Kumar,2012-,43,154.2,2,1088,41,26.54,May-24,1,22.59,7.05
Ravindrasinh Jadeja,2009-,49,162.1,4,1152,39,29.54,Mar-48,0,24.95,7.1
Kuldeep Yadav,2017-,21,75.3,1,537,39,13.77,May-24,2,11.62,7.11
Hardik Pandya,2016-,40,116.5,1,976,38,25.68,Apr-38,1,18.45,8.35
Ashish Nehra,2009-2017,27,98,2,758,34,22.29,Mar-19,0,17.29,7.73
Yuvraj Singh,2007-2017,58,70.4,0,499,28,17.82,Mar-17,0,15.14,7.06
Irfan Pathan,2006-2012,24,77,1,618,28,22.07,Mar-16,0,16.5,8.03